#Título,Descripción
O orzamento municipal,"O orzamento dun Concello é un documento que se aproba polo Pleno e especifica os gastos que como máximo se realizarán durante o exercicio e os ingresos que se prevén obter durante o mesmo período. Todas as entidades locais están obrigadas a aprobar o seu orzamento do ano no derradeiro trimestre do ano anterior. Desta maneira o 1 de xaneiro de cada ano teñen que ter o seu orzamento aprobado. Con todo, se ao comezar o ano non aprobasen o orzamento, a normativa estabelece que se prorroga automaticamente o do exercicio anterior."
Como se clasifica o orzamento do gasto,"Os gastos do orzamento clasifícanse de acordo a tres clasificacións diferentes:<ul><li>Orgánica: que informa de quen realiza o gasto.</li><li>Por programas, que informa sobre en que se gasta, é decir, a finalidade do gasto.</li><li>Económica, que informa sobre como se gasta, sobre a natureza económica do gasto.</li></ul>"
Clasificación orgánica do orzamento do gasto,"A clasificación orgánica do orzamento do gasto informa de que unidade orgánica do Concello xestiona o gasto, é dicir, que área ou servizo é o responsable da execución do mesmo. Esta clasificación é opcional."
Clasificación económica do orzamento de gasto,"A clasificación económica do orzamento do gasto informa de como se gasta, é por este motivo que os créditos do orzamento de gasto ordénanse segundo a súa natureza económica, distinguindo entre os créditos destinados a operacións correntes, como os gastos necesarios para o funcionamento dos servizos públicos (gastos de personal e bens e servizos), os créditos destinados a operacións de capital (como os gastos en investimentos reais) e os créditos destinados a operacións de caracter financeiro (como as amortizacións dos préstamos que recibiron as entidades locais)." 
Clasificación por programas do orzamento do gasto,A clasificación por programas do orzamento do gasto informa sobre a finalidade e os obxectivos dos créditos que con eles deséxanse conseguir.
Como se clasifica o orzamento de ingresos,"O orzamento de ingresos pódese clasificar de acordo coa seguinte clasificación:<ul><li>Clasificación económica, que presenta a información segundo a natureza económica dos dereitos orzamentarios.</li><li>Clasificación orgánica, que informa sobre quen ingresa. As entidades locais poden clasificar os ingresos atendendo a súa propia estrutura. É unha posibilidade que teñen as entidades locais e, por tanto, unha clasificación de carácter opcional.</li></ul>"
Imposto sobre bens inmobles,"O IBI é un imposto municipal, directo, real, obxectivo, periódico e obrigatorio, que grava o valor dos bens inmobles. Están obrigados a pagar este imposto os propietarios, usufructuarios ou concesionarios de calquera ben inmoble ou propiedade (piso, praza de garaxe, trasteiro, tenda, casa, despacho, etc...). En caso de transmisión, o novo propietario ten que pagar o imposto a partir do ano seguinte. A xestión deste imposto compártea o concello e a Administración tributaria do Estado."
Imposto de actividades económicas,"O IAE é un imposto directo, real e obrigatorio, que grava a realización de calquera tipo de actividade económica, tanto se é exercida por unha persoa física coma xurídica. Teñen que pagar este imposto as empresas ou entidades que obtiveron unha cifra neta de negocio igual ou superior ao millón de euros durante o penúltimo exercicio. A xestión deste imposto compártea o concello e a Administración tributaria do Estado."
Imposto de vehículos de tracción mecánica,"O imposto de vehículos de tracción mecánica (IVTM) é un tributo directo que grava a titularidade dos vehículos aptos para circular por vías públicas. Teñen que pagar anualmente este imposto os propietaros de vehículos dados de alta. A xestión deste imposto é integramente municipal."
"Imposto sobre construcións, instalacións e obras","O ICIO é un tributo municipal que os Concellos poden esixir se previamente aprobárono na Ordenanza fiscal correspondente. O ICIO tense que pagar pola realización dentro do termo municipal de calquera construción, instalación ou obra para a cal se requira obter unha licenza urbanística ou presentar unha declaración responsable ou unha comunicación previa. A xestión deste imposto é integramente municipal."
Imposto sobre o incremento do valor dos terreos de naturaleza urbana,"O IIVTNU é un tributo directo que grava o incremento de valor que experimentou un terreo mentres unha persoa foi propietaria dun piso, aparcadoiro, trasteiro, local, terreo, etc... Ten que pagar este imposto a persoa que vende un piso, unha praza de garaxe, un trasteiro, unha tenda, unha casa, etc..., polo incremento do valor que experimentou o terreo mentres foi propietario. No caso de herdanza ou doazón, é o novo propietario quen ten que pagar o imposto. A xestión deste imposto é integramente municipal."
Taxas e prezos públicos,"Cando o Concello realiza actividades que benefician ou interesan particularmente aos cidadáns, pode esixir taxas ou prezos públicos. Tamén esixirase unha taxa cando teña lugar o aproveitamento especial da vía pública a favor dun particular. Exemplos típicos de actividades polas cales se esixe unha taxa son a recollida do lixo, a concesión dunha licenza urbanística ou un vao. Ten que pagar a taxa a persoa que se beneficia do dominio público ou dun servizo ou actividade que realiza o Concello. É o Concello quen determina mediante as ordenanzas fiscais o importe da taxa. A diferenza entre unha taxa e un prezo público é que a taxa establécese para servizos que só presta o Concello (exemplo o vaos), e o prezo público utilízase para aqueles servizos que tamén poden ser prestados por unha empresa privada (como por exemplo as garderías)."
Contribucións especiais,"Cando o Concello realiza obras públicas ou establece servizos dos cales o cidadán obtén un beneficio ou incrementa o valor dos seus bens, pódense esixir contribucións especiais."
Resultado orzamentario axustado,"O resultado orzamentario axustado forma parte do estado de liquidación do orzamento e é a diferenza entre os dereitos de cobro que se liquidaron no exercicio e as obrigacións de pago recoñecidas no mesmo período. Por tanto, é unha magnitude que reflicte o superávit ou déficit do exercicio do Concello. O resultado orzamentario tense que axustar coas obrigacións que se financian con remanente de tesourería para gastos xerais e as desviacións de financiamento do exercicio derivadas dos gastos con financiamento afectado, xa que estas circunstancias distorsionan o resultado orzamentario. Cando o resultado orzamentario axustado do exercicio é negativo, atopámonos diante dunha situación financeira que ten que ser analizada e se é o caso corrixida, xa que este saldo manifesta a incapacidade dos dereitos recoñecidos no exercicio para atender as obrigacións xeradas no mesmo, e por tanto un incumprimento do principio de estabilidade orzamentaria."
Remanente de tesourería para gastos xerais,"O remanente de tesourería para gastos xerais forma parte do estado de liquidación do orzamento e é a suma dos dereitos pendentes de cobro (do mesmo exercicio e do anterior) mais os fondos líquidos de tesourería e menos os créditos pendentes de pago (do mesmo exercicio e do anterior). Todo e a definición do "remanente líquido de tesourería", esta magnitude non significa un sobrante de tesourería. É sinxelamente o resultado líquido que se obtería no hipotético caso de que se cobrasen todos os dereitos recoñecidos e se pagaran todas as obrigacións recoñecidas, tanto orzamentarias como non orzamentarias, tendo en conta as desviacións de financiamento afectadas positivas acumuladas".
Aforro neto,"A magnitude do aforro neto é un indicador da situación financeira da entidade local, da capacidade de poder atender no seu vencemento a carga financeira do endebedamento. Calcúlase da seguinte maneira: suma dos ingresos liquidados correspondente a impostos, taxas e prezos públicos, transferencias correntes e ingresos patrimoniais, menos os gastos relativos a persoal, bens correntes e servizos e transferencias correntes (non se contemplan os gastos financiados con remanente de tesourería para gastos xerais). A este resultado ténselle que restar a anualidade teórica de amortización correspondente aos préstamos concertados a longo prazo e aos avais a terceiros pendentes de reembolsar."
Período medio de pago,O indicador Período medio de pago (PMP) mide o período de pago aos provedores que prestan servizos ao Concello (segundo a normativa vixente este período non pode superar os 30 días).
Capacidade de financiamento,"A capacidade ou necesidade de financiamento dun Concello mídese como a diferenza entre os ingresos non financeiros e os gastos non financieiros. Cando o resultado é positivo (capacidade de financiamento), indica que a entidade ten capacidade de financiamento ou superávit de orzamento non financeiro. En cambio, se o resultado é negativo, indica que a entidade necesita financiamento, é dicir, que ten que recorrer ao endebedamento."
Regra do gasto,A regra do gasto establece un teito de gasto para o orzamento das Administracións públicas. A normativa vixente establece que o gasto computable do orzamento do Concello non pode superar a taxa de referencia do produto interior bruto (PIB) a medio prazo.
Débeda viva,"A débeda viva é a totalidade da débeda pendente de pagar que ten o Concello procedente de préstamos a longo prazo con entidades financeiras e avais, é dicir, é o capital pendente de amortizar mais os intereses xerados."
